session_date,direction,entry_price,entry_time,stop,target,exit_price,exit_time,exit_reason,risk_pts,reward_pts,pnl_pts,pnl_usd
2025-03-03,short,20816.75,2025-03-03 19:42:00+00:00,20860.0,20795.75,20795.75,2025-03-03 19:44:00+00:00,target,43.25,21.0,21.0,420.0
2025-03-05,short,20433.25,2025-03-05 13:46:00+00:00,20469.25,20403.0,20403.0,2025-03-05 14:00:00+00:00,target,36.0,30.25,30.25,605.0
2025-03-07,short,20116.5,2025-03-07 14:34:00+00:00,20254.25,20111.5,20111.5,2025-03-07 14:36:00+00:00,target,137.75,5.0,5.0,100.0
2025-03-11,short,19465.75,2025-03-11 14:06:00+00:00,19540.0,19458.0,19458.0,2025-03-11 14:12:00+00:00,target,74.25,7.75,7.75,155.0
2025-03-12,short,19647.25,2025-03-12 13:58:00+00:00,19734.0,19564.75,19564.75,2025-03-12 14:32:00+00:00,target,86.75,82.5,82.5,1650.0
2025-03-13,short,19537.25,2025-03-13 12:50:00+00:00,19580.0,19531.25,19580.0,2025-03-13 13:02:00+00:00,stop,42.75,6.0,-42.75,-855.0
2025-03-17,short,19718.75,2025-03-17 13:30:00+00:00,19722.75,19665.25,19722.75,2025-03-17 13:32:00+00:00,stop,4.0,53.5,-4.0,-80.0
2025-03-18,short,19774.75,2025-03-18 18:52:00+00:00,19888.75,19771.0,19771.0,2025-03-18 18:54:00+00:00,target,114.0,3.75,3.75,75.0
2025-03-19,short,19753.75,2025-03-19 13:46:00+00:00,19759.0,19748.5,19759.0,2025-03-19 13:48:00+00:00,stop,5.25,5.25,-5.25,-105.0
2025-04-11,short,18508.0,2025-04-11 13:00:00+00:00,18602.0,18462.5,18462.5,2025-04-11 13:08:00+00:00,target,94.0,45.5,45.5,910.0
2025-04-25,short,19271.0,2025-04-25 13:54:00+00:00,19297.25,19236.0,19297.25,2025-04-25 14:00:00+00:00,stop,26.25,35.0,-26.25,-525.0
2025-05-07,short,19902.0,2025-05-07 13:16:00+00:00,19935.75,19901.5,19901.5,2025-05-07 13:18:00+00:00,target,33.75,0.5,0.5,10.0
2025-05-09,long,20254.75,2025-05-09 13:40:00+00:00,20226.25,20256.0,20256.0,2025-05-09 13:42:00+00:00,target,28.5,1.25,1.25,25.0
2025-05-16,long,21390.0,2025-05-16 14:58:00+00:00,21367.25,21436.25,21436.25,2025-05-16 15:40:00+00:00,target,22.75,46.25,46.25,925.0
2025-05-20,long,21436.25,2025-05-20 13:24:00+00:00,21424.25,21438.0,21424.25,2025-05-20 13:26:00+00:00,stop,12.0,1.75,-12.0,-240.0
2025-05-21,long,21347.25,2025-05-21 17:18:00+00:00,21262.5,21348.75,21348.75,2025-05-21 17:20:00+00:00,target,84.75,1.5,1.5,30.0
2025-05-22,long,21186.0,2025-05-22 14:54:00+00:00,21108.25,21187.75,21187.75,2025-05-22 14:58:00+00:00,target,77.75,1.75,1.75,35.0
2025-05-28,long,21481.25,2025-05-28 17:22:00+00:00,21451.5,21511.75,21451.5,2025-05-28 18:50:00+00:00,stop,29.75,30.5,-29.75,-595.0
