session_date,direction,entry_price,entry_time,stop,target,exit_price,exit_time,exit_reason,risk_pts,reward_pts,pnl_pts,pnl_usd
2025-08-12,short,23698.0,2025-08-12 14:06:00+00:00,23804.5,23538.25,23804.5,2025-08-12 15:06:00+00:00,stop,106.5,159.75,-106.5,-2130.0
2025-08-21,short,23260.5,2025-08-21 15:22:00+00:00,23342.5,23137.5,23137.5,2025-08-21 17:16:00+00:00,target,82.0,123.0,123.0,2460.0
2025-09-09,short,23824.5,2025-09-09 13:56:00+00:00,23830.25,23815.88,23815.88,2025-09-09 13:58:00+00:00,target,5.75,8.62,8.62,172.5
2025-09-16,long,24540.5,2025-09-16 14:20:00+00:00,24524.0,24565.25,24524.0,2025-09-16 15:00:00+00:00,stop,16.5,24.75,-16.5,-330.0
2025-09-25,long,24638.75,2025-09-25 14:50:00+00:00,24627.0,24656.38,24627.0,2025-09-25 14:52:00+00:00,stop,11.75,17.62,-11.75,-235.0
2025-09-30,long,24778.25,2025-09-30 13:48:00+00:00,24772.25,24787.25,24772.25,2025-09-30 13:50:00+00:00,stop,6.0,9.0,-6.0,-120.0
2025-10-10,long,25330.25,2025-10-10 14:52:00+00:00,25307.0,25365.12,25307.0,2025-10-10 14:56:00+00:00,stop,23.25,34.88,-23.25,-465.0
2025-10-22,long,25259.75,2025-10-22 13:56:00+00:00,25203.25,25344.5,25203.25,2025-10-22 14:14:00+00:00,stop,56.5,84.75,-56.5,-1130.0
2025-10-31,long,26133.25,2025-10-31 15:28:00+00:00,26127.25,26142.25,26142.25,2025-10-31 15:30:00+00:00,target,6.0,9.0,9.0,180.0
2025-11-14,short,25122.75,2025-11-14 16:10:00+00:00,25167.0,25056.38,25167.0,2025-11-14 16:18:00+00:00,stop,44.25,66.38,-44.25,-885.0
